week,games_available,spread_bets,spread_wins,spread_hit_rate,total_bets,total_wins,total_hit_rate,overall_bets,overall_wins,overall_hit_rate
2,61,0,0,,0,0,,0,0,
3,56,14,6,0.42857142857142855,6,4,0.6666666666666666,20,10,0.5
4,60,12,6,0.5,12,7,0.5833333333333334,24,13,0.5416666666666666
5,54,7,2,0.2857142857142857,10,3,0.3,17,5,0.29411764705882354
6,49,10,7,0.7,6,2,0.3333333333333333,16,9,0.5625
7,52,10,8,0.8,7,6,0.8571428571428571,17,14,0.8235294117647058
8,59,9,3,0.3333333333333333,8,4,0.5,17,7,0.4117647058823529
9,57,10,7,0.7,11,6,0.5454545454545454,21,13,0.6190476190476191
10,48,9,5,0.5555555555555556,15,5,0.3333333333333333,24,10,0.4166666666666667
11,50,9,5,0.5555555555555556,6,4,0.6666666666666666,15,9,0.6
12,54,8,4,0.5,9,4,0.4444444444444444,17,8,0.47058823529411764
13,62,13,8,0.6153846153846154,8,6,0.75,21,14,0.6666666666666666
14,67,9,4,0.4444444444444444,11,7,0.6363636363636364,20,11,0.55
15,9,1,1,1.0,0,0,,1,1,1.0
16,1,0,0,,1,1,1.0,1,1,1.0
season,739,121,66,0.5454545454545454,110,59,0.5363636363636364,231,125,0.5411255411255411
