Threshold,Spread Count,Spread Win%,Spread Units,Spread ROI,Total Count,Total Win%,Total Units,Total ROI,Combined Count,Combined Win%,Combined Units,Combined ROI
0.0,106,0.5377358490566038,3.0999999999999943,0.026586620926243518,60,0.5166666666666667,-0.9000000000000021,-0.013636363636363669,166,0.5301204819277109,2.199999999999992,0.012048192771084293
0.5,106,0.5377358490566038,3.0999999999999943,0.026586620926243518,60,0.5166666666666667,-0.9000000000000021,-0.013636363636363669,166,0.5301204819277109,2.199999999999992,0.012048192771084293
1.0,106,0.5377358490566038,3.0999999999999943,0.026586620926243518,60,0.5166666666666667,-0.9000000000000021,-0.013636363636363669,166,0.5301204819277109,2.199999999999992,0.012048192771084293
1.5,106,0.5377358490566038,3.0999999999999943,0.026586620926243518,60,0.5166666666666667,-0.9000000000000021,-0.013636363636363669,166,0.5301204819277109,2.199999999999992,0.012048192771084293
2.0,106,0.5377358490566038,3.0999999999999943,0.026586620926243518,60,0.5166666666666667,-0.9000000000000021,-0.013636363636363669,166,0.5301204819277109,2.199999999999992,0.012048192771084293
2.5,106,0.5377358490566038,3.0999999999999943,0.026586620926243518,60,0.5166666666666667,-0.9000000000000021,-0.013636363636363669,166,0.5301204819277109,2.199999999999992,0.012048192771084293
3.0,106,0.5377358490566038,3.0999999999999943,0.026586620926243518,60,0.5166666666666667,-0.9000000000000021,-0.013636363636363669,166,0.5301204819277109,2.199999999999992,0.012048192771084293
3.5,106,0.5377358490566038,3.0999999999999943,0.026586620926243518,60,0.5166666666666667,-0.9000000000000021,-0.013636363636363669,166,0.5301204819277109,2.199999999999992,0.012048192771084293
4.0,106,0.5377358490566038,3.0999999999999943,0.026586620926243518,60,0.5166666666666667,-0.9000000000000021,-0.013636363636363669,166,0.5301204819277109,2.199999999999992,0.012048192771084293
4.5,106,0.5377358490566038,3.0999999999999943,0.026586620926243518,60,0.5166666666666667,-0.9000000000000021,-0.013636363636363669,166,0.5301204819277109,2.199999999999992,0.012048192771084293
5.0,106,0.5377358490566038,3.0999999999999943,0.026586620926243518,60,0.5166666666666667,-0.9000000000000021,-0.013636363636363669,166,0.5301204819277109,2.199999999999992,0.012048192771084293
5.5,106,0.5377358490566038,3.0999999999999943,0.026586620926243518,60,0.5166666666666667,-0.9000000000000021,-0.013636363636363669,166,0.5301204819277109,2.199999999999992,0.012048192771084293
6.0,106,0.5377358490566038,3.0999999999999943,0.026586620926243518,60,0.5166666666666667,-0.9000000000000021,-0.013636363636363669,166,0.5301204819277109,2.199999999999992,0.012048192771084293
6.5,103,0.5436893203883495,4.299999999999997,0.03795233892321268,60,0.5166666666666667,-0.9000000000000021,-0.013636363636363669,163,0.5337423312883436,3.399999999999995,0.018962632459564945
7.0,100,0.53,1.2999999999999972,0.01181818181818179,59,0.5084745762711864,-1.9000000000000021,-0.029275808936825916,159,0.5220125786163522,-0.600000000000005,-0.003430531732418553
7.5,98,0.5204081632653061,-0.7000000000000028,-0.006493506493506519,58,0.5172413793103449,-0.8000000000000043,-0.012539184952978122,156,0.5192307692307693,-1.500000000000007,-0.008741258741258782
8.0,98,0.5204081632653061,-0.7000000000000028,-0.006493506493506519,55,0.5272727272727272,0.3999999999999986,0.00661157024793386,153,0.5228758169934641,-0.30000000000000426,-0.0017825311942959254
8.5,89,0.5168539325842697,-1.3000000000000043,-0.013278855975485232,45,0.5333333333333333,0.8999999999999986,0.01818181818181815,134,0.5223880597014925,-0.4000000000000057,-0.002713704206241558
9.0,82,0.5,-4.100000000000001,-0.04545454545454547,40,0.55,2.1999999999999993,0.04999999999999998,122,0.5163934426229508,-1.9000000000000021,-0.014157973174366631
9.5,76,0.4868421052631579,-5.900000000000006,-0.0705741626794259,37,0.5675675675675675,3.3999999999999986,0.0835380835380835,113,0.5132743362831859,-2.500000000000007,-0.020112630732099814
10.0,68,0.5147058823529411,-1.3000000000000043,-0.017379679144385082,30,0.5,-1.5,-0.045454545454545456,98,0.5102040816326531,-2.8000000000000043,-0.02597402597402601
