feature,mean_abs_shap,rank
home_adj_off_epa_pp,1.84984883258534,1
away_adj_off_sr,1.3539603966637188,2
home_def_epa_pp_last_3,1.2863662815008505,3
away_off_eckel_rate_last_3,1.0642495813058719,4
home_off_epa_pp_last_3,1.0312217092381508,5
home_adj_off_sr,0.9625984231824817,6
away_off_pass_ypp_last_3,0.9553810083692135,7
home_adj_def_sr,0.9197260109396217,8
away_adj_off_epa_pp,0.9175224077395628,9
home_def_expl_rate_overall_10_last_3,0.9102952990842206,10
home_adj_def_epa_pp,0.8266716932919037,11
away_off_avg_net_punt_yards_last_3,0.8095797916107546,12
home_off_eckel_rate_last_3,0.807801431275225,13
away_adj_def_sr,0.7685100654649805,14
away_off_successful_drive_rate_last_3,0.7648176824501909,15
away_off_expl_rate_pass_last_3,0.7254800535870795,16
home_def_rush_ypp_last_3,0.6679084702583851,17
away_adj_def_epa_pp,0.6312922813327946,18
home_def_avg_line_yards_allowed_last_3,0.587376621335365,19
away_def_avg_line_yards_allowed_last_3,0.5818821299806358,20
away_off_expl_rate_rush_last_3,0.5766891846257062,21
home_adj_def_ypp,0.5507784611772071,22
away_off_busted_drive_rate_last_3,0.5495491647231284,23
away_def_pass_ypp_last_3,0.5286238265604428,24
away_adj_off_ypp,0.49395148204206407,25
home_off_pass_ypp_last_3,0.4657297723313253,26
home_off_avg_line_yards_last_3,0.4615508516916569,27
home_def_explosive_drive_rate_allowed_last_3,0.460389829767704,28
home_off_avg_net_punt_yards_last_3,0.44919369531836684,29
away_def_busted_drive_rate_allowed_last_3,0.44480846899287285,30
away_def_epa_pp_last_3,0.4427563177930197,31
home_off_successful_drive_rate_last_3,0.43731005166351644,32
home_adj_off_ypp,0.4269322756455908,33
home_def_expl_rate_rush_last_3,0.42550301361427856,34
away_off_epa_pp_last_3,0.42234558603093586,35
home_def_expl_rate_overall_20_last_3,0.4112528144080677,36
home_off_finish_pts_per_opp_last_3,0.40594692244425973,37
away_off_explosive_drive_rate_last_3,0.4011047724177848,38
away_off_sr_last_3,0.3934910183192172,39
away_def_power_success_rate_allowed_last_3,0.3924958254092944,40
away_def_successful_drive_rate_allowed_last_3,0.3916671906910597,41
home_def_expl_rate_overall_30_last_3,0.37945633668204193,42
away_def_rush_ypp_last_3,0.37560747337828765,43
home_def_busted_drive_rate_allowed_last_3,0.37343376966305863,44
away_def_sr_last_3,0.3702119617544031,45
home_def_sr_last_3,0.36738684653466924,46
away_adj_def_ypp,0.3449373187545919,47
home_off_expl_rate_overall_10_last_3,0.34372681970654195,48
home_def_expl_rate_pass_last_3,0.33489271483227284,49
away_off_finish_pts_per_opp_last_3,0.3303775106400161,50
away_def_expl_rate_pass_last_3,0.3296561565525916,51
away_off_avg_line_yards_last_3,0.32434217211412947,52
home_def_pass_ypp_last_3,0.3215389705085186,53
away_def_avg_second_level_yards_allowed_last_3,0.3208001953381225,54
away_off_power_success_rate_last_3,0.3179426004993657,55
away_adj_off_expl_rate_overall_20,0.30738683326391264,56
away_off_avg_open_field_yards_last_3,0.30095094166509356,57
home_off_busted_drive_rate_last_3,0.294990441050538,58
home_off_explosive_drive_rate_last_3,0.2948654129864837,59
home_off_sr_last_3,0.27852749390985343,60
away_def_expl_rate_overall_20_last_3,0.27249955837675416,61
home_def_power_success_rate_allowed_last_3,0.2663468679757421,62
home_off_expl_rate_rush_last_3,0.26629504341137056,63
home_havoc_rate_last_3,0.2553275995518132,64
away_off_avg_second_level_yards_last_3,0.25217625910324376,65
away_havoc_rate_last_3,0.2519612596542693,66
away_off_expl_rate_overall_30_last_3,0.25021774084955395,67
away_def_avg_open_field_yards_allowed_last_3,0.2489220394359529,68
home_def_avg_second_level_yards_allowed_last_3,0.24806166218767908,69
away_off_expl_rate_overall_10_last_3,0.2430348934861157,70
home_def_ypp_last_3,0.23837614562761822,71
home_off_power_success_rate_last_3,0.23833365486742586,72
home_off_avg_second_level_yards_last_3,0.23605493068571717,73
home_off_rush_ypp_last_3,0.22427703140015204,74
away_adj_def_expl_rate_overall_20,0.2194652532448122,75
away_off_expl_rate_overall_20_last_3,0.21868517061401066,76
home_off_expl_rate_overall_20_last_3,0.20961104139304573,77
away_def_expl_rate_rush_last_3,0.20441090865304723,78
away_stuff_rate_last_3,0.2027984339967895,79
home_adj_def_expl_rate_overall_20,0.20153257061867608,80
home_adj_off_expl_rate_overall_20,0.19818097573772722,81
home_off_avg_open_field_yards_last_3,0.1980210632839092,82
home_off_expl_rate_pass_last_3,0.1946688685049075,83
away_off_rush_ypp_last_3,0.19005954230932143,84
home_off_expl_rate_overall_30_last_3,0.1864816302941199,85
home_def_successful_drive_rate_allowed_last_3,0.18630911850955534,86
home_off_ypp_last_3,0.18595458783587598,87
home_stuff_rate_last_3,0.18440446903807814,88
away_def_explosive_drive_rate_allowed_last_3,0.16807895863289946,89
away_def_expl_rate_overall_10_last_3,0.16615324451125005,90
home_def_avg_open_field_yards_allowed_last_3,0.14294343062091452,91
away_def_ypp_last_3,0.14127251795445306,92
away_def_expl_rate_overall_30_last_3,0.12067769626106259,93
away_off_ypp_last_3,0.10712840474012061,94
away_cumulative_luck_factor,0.04431922072799797,95
home_cumulative_luck_factor,0.0,96
