Strategy,Season,RMSE,Bias,Avg_Correction
Baseline (No Calib),2019,19.494396189053823,-1.167172705402487,0.0
Rolling 4 Weeks,2019,19.651779573736903,0.6400554136893287,1.8541690680454601
Season-to-Date,2019,19.66099492033061,1.1268561972831406,2.2940289026856275
Baseline (No Calib),2021,18.83361696958103,-1.4263249210913516,0.0
Rolling 4 Weeks,2021,18.88454725125016,-0.9620541748960548,1.5980909137964976
Season-to-Date,2021,18.812762019626568,-0.4168877399654343,1.107330537193987
Baseline (No Calib),2022,17.88543262595582,-0.49397997163797364,0.0
Rolling 4 Weeks,2022,17.965174423849575,0.4785858295707501,1.0435799355367281
Season-to-Date,2022,17.900889989193985,-0.6654009042666041,0.27368477464110624
Baseline (No Calib),2023,17.756371273848195,0.49990465993135547,0.0
Rolling 4 Weeks,2023,17.828525036361516,0.035032627582622766,0.6817580937222225
Season-to-Date,2023,17.800489096170246,0.2109207850029396,0.41388901980249376
Baseline (No Calib),2024,17.891706567291074,0.8252796336288181,0.0
Rolling 4 Weeks,2024,17.91909573439484,-0.4264968507047083,1.4856991404558062
Season-to-Date,2024,17.975489066888404,-0.3197231855378965,1.1450028191667145
Baseline (No Calib),2025,,,0.0
Rolling 4 Weeks,2025,,,0.2292644164897545
Season-to-Date,2025,,,0.0
Baseline (No Calib),All,18.365192936175315,-0.32812621679983406,0.0
Rolling 4 Weeks,All,18.442487301762405,-0.056577863066995145,1.1050680709563854
Season-to-Date,All,18.42322612829884,-0.02630787227852577,0.8242918809135842
