week,bets,stake,pnl,bankroll,error
2,0,0.0,0.0,1000.0,"The feature names should match those that were passed during fit.
Feature names seen at fit time, yet now missing:
- away_def_epa_pp_last_1
- away_def_epa_pp_last_3
- away_def_expl_rate_overall_10_last_1
- away_def_expl_rate_overall_10_last_3
- away_def_expl_rate_overall_20_last_1
- ...
"
3,0,0.0,0.0,1000.0,"The feature names should match those that were passed during fit.
Feature names seen at fit time, yet now missing:
- away_def_epa_pp_last_1
- away_def_epa_pp_last_3
- away_def_expl_rate_overall_10_last_1
- away_def_expl_rate_overall_10_last_3
- away_def_expl_rate_overall_20_last_1
- ...
"
4,0,0.0,0.0,1000.0,"The feature names should match those that were passed during fit.
Feature names seen at fit time, yet now missing:
- away_def_epa_pp_last_1
- away_def_epa_pp_last_3
- away_def_expl_rate_overall_10_last_1
- away_def_expl_rate_overall_10_last_3
- away_def_expl_rate_overall_20_last_1
- ...
"
5,0,0.0,0.0,1000.0,"The feature names should match those that were passed during fit.
Feature names seen at fit time, yet now missing:
- away_def_epa_pp_last_1
- away_def_epa_pp_last_3
- away_def_expl_rate_overall_10_last_1
- away_def_expl_rate_overall_10_last_3
- away_def_expl_rate_overall_20_last_1
- ...
"
6,0,0.0,0.0,1000.0,"The feature names should match those that were passed during fit.
Feature names seen at fit time, yet now missing:
- away_def_epa_pp_last_1
- away_def_epa_pp_last_3
- away_def_expl_rate_overall_10_last_1
- away_def_expl_rate_overall_10_last_3
- away_def_expl_rate_overall_20_last_1
- ...
"
7,0,0.0,0.0,1000.0,"The feature names should match those that were passed during fit.
Feature names seen at fit time, yet now missing:
- away_def_epa_pp_last_1
- away_def_epa_pp_last_3
- away_def_expl_rate_overall_10_last_1
- away_def_expl_rate_overall_10_last_3
- away_def_expl_rate_overall_20_last_1
- ...
"
8,0,0.0,0.0,1000.0,"The feature names should match those that were passed during fit.
Feature names seen at fit time, yet now missing:
- away_def_epa_pp_last_1
- away_def_epa_pp_last_3
- away_def_expl_rate_overall_10_last_1
- away_def_expl_rate_overall_10_last_3
- away_def_expl_rate_overall_20_last_1
- ...
"
9,0,0.0,0.0,1000.0,"The feature names should match those that were passed during fit.
Feature names seen at fit time, yet now missing:
- away_def_epa_pp_last_1
- away_def_epa_pp_last_3
- away_def_expl_rate_overall_10_last_1
- away_def_expl_rate_overall_10_last_3
- away_def_expl_rate_overall_20_last_1
- ...
"
10,0,0.0,0.0,1000.0,"The feature names should match those that were passed during fit.
Feature names seen at fit time, yet now missing:
- away_def_epa_pp_last_1
- away_def_epa_pp_last_3
- away_def_expl_rate_overall_10_last_1
- away_def_expl_rate_overall_10_last_3
- away_def_expl_rate_overall_20_last_1
- ...
"
11,0,0.0,0.0,1000.0,"The feature names should match those that were passed during fit.
Feature names seen at fit time, yet now missing:
- away_def_epa_pp_last_1
- away_def_epa_pp_last_3
- away_def_expl_rate_overall_10_last_1
- away_def_expl_rate_overall_10_last_3
- away_def_expl_rate_overall_20_last_1
- ...
"
12,0,0.0,0.0,1000.0,"The feature names should match those that were passed during fit.
Feature names seen at fit time, yet now missing:
- away_def_epa_pp_last_1
- away_def_epa_pp_last_3
- away_def_expl_rate_overall_10_last_1
- away_def_expl_rate_overall_10_last_3
- away_def_expl_rate_overall_20_last_1
- ...
"
13,0,0.0,0.0,1000.0,"The feature names should match those that were passed during fit.
Feature names seen at fit time, yet now missing:
- away_def_epa_pp_last_1
- away_def_epa_pp_last_3
- away_def_expl_rate_overall_10_last_1
- away_def_expl_rate_overall_10_last_3
- away_def_expl_rate_overall_20_last_1
- ...
"
14,0,0.0,0.0,1000.0,"The feature names should match those that were passed during fit.
Feature names seen at fit time, yet now missing:
- away_def_epa_pp_last_1
- away_def_epa_pp_last_3
- away_def_expl_rate_overall_10_last_1
- away_def_expl_rate_overall_10_last_3
- away_def_expl_rate_overall_20_last_1
- ...
"
15,0,0.0,0.0,1000.0,"The feature names should match those that were passed during fit.
Feature names seen at fit time, yet now missing:
- away_def_epa_pp_last_1
- away_def_epa_pp_last_3
- away_def_expl_rate_overall_10_last_1
- away_def_expl_rate_overall_10_last_3
- away_def_expl_rate_overall_20_last_1
- ...
"
16,0,0.0,0.0,1000.0,"The feature names should match those that were passed during fit.
Feature names seen at fit time, yet now missing:
- away_def_epa_pp_last_1
- away_def_epa_pp_last_3
- away_def_expl_rate_overall_10_last_1
- away_def_expl_rate_overall_10_last_3
- away_def_expl_rate_overall_20_last_1
- ...
"
17,0,0.0,0.0,1000.0,"No raw games found for year 2024, week 17 after filtering"
